Trans Number,Employee,Year,Month,WeekDay,Product,Units,Sales,Location
172,Colleen,2018,February,Saturday,foundation,55,167.5541568,south
173,Emilee,2020,July,Sunday,foundation,14,43.89719699,south
174,Jen,2018,March,Wednesday,lipstick,91,275.244796,south
175,Emilee,2018,April,Friday,eye liner,80,242.448596,south
176,Betsy,2019,November,Sunday,eye liner,70,211.7552315,south
177,Cici,2018,July,Tuesday,mascara,54,164.3049667,west
178,Ashley,2019,December,Monday,mascara,19,58.36289834,east
179,Hallagan,2019,September,Thursday,foundation,38,115.8287887,south
180,Colleen,2018,May,Wednesday,lipstick,60,182.0222938,east
181,Hallagan,2019,October,Friday,lipstick,51,155.7378846,midwest
182,Ashley,2018,May,Tuesday,lip gloss,78,236.1422346,midwest
183,Hallagan,2018,November,Monday,foundation,17,52.46921821,west
184,Jen,2018,August,Sunday,eye liner,13,40.80819271,midwest
185,Emilee,2019,July,Thursday,mascara,2,8.036053554,south
186,Betsy,2020,November,Saturday,mascara,74,223.8778326,east
187,Colleen,2020,March,Friday,foundation,57,172.9242143,south
188,Jen,2018,May,Tuesday,mascara,79,239.3442863,west
189,Colleen,2019,June,Wednesday,foundation,82,247.4617745,west
190,Cici,2020,September,Sunday,lip gloss,28,85.95722547,south
191,Jen,2018,February,Friday,mascara,63,191.0302935,midwest
192,Cristina,2019,September,Monday,foundation,72,217.5928786,west
193,Cristina,2020,January,Tuesday,lipstick,68,205.9327034,midwest
194,Emilee,2020,January,Saturday,eye liner,8,26.13873913,west
195,Hallagan,2018,December,Friday,lipstick,62,188.5163423,midwest
196,Jen,2019,March,Saturday,eye liner,5,16.34842723,east
197,Colleen,2018,February,Friday,mascara,5,12.89806109,east
198,Colleen,2020,May,Monday,mascara,4,9.998213253,west
199,Cristina,2020,November,Saturday,mascara,81,244.6810419,west
200,Cristina,2020,March,Friday,eye liner,21,64.74400337,south
201,Cici,2019,June,Sunday,eye liner,21,64.86319232,east
202,Hallagan,2019,December,Friday,foundation,3,7.154085897,south
203,Cici,2020,December,Thursday,lip gloss,57,173.6444511,west
204,Cici,2020,August,Friday,lip gloss,86,259.3097073,west
205,Jen,2020,April,Wednesday,foundation,14,44.13901612,west
206,Hallagan,2020,December,Wednesday,lipstick,20,61.95588114,midwest
207,Colleen,2018,February,Friday,mascara,60,181.9394264,east
208,Jen,2020,July,Wednesday,eye liner,45,137.1550783,west
209,Jen,2018,March,Thursday,eye liner,7,22.99759982,midwest
210,Betsy,2020,March,Monday,lip gloss,6,16.33447267,midwest
211,Jen,2020,April,Sunday,lip gloss,35,106.8998222,south
212,Colleen,2020,May,Thursday,foundation,31,95.13200096,east
213,Jen,2019,November,Wednesday,lip gloss,19,59.07574093,west
214,Zaret,2020,February,Sunday,eye liner,35,106.6433992,west
215,Betsy,2018,December,Saturday,lipstick,51,154.5977158,east
216,Hallagan,2020,February,Thursday,mascara,1,5.386713963,east
217,Cici,2018,September,Friday,foundation,67,203.3591271,midwest
218,Cici,2019,March,Wednesday,mascara,23,71.41259754,midwest
219,Colleen,2019,January,Thursday,foundation,41,125.2347544,east
220,Ashley,2018,January,Thursday,mascara,27,83.19511035,west
221,Cristina,2020,September,Wednesday,foundation,56,170.1751256,midwest
222,Ashley,2018,July,Tuesday,mascara,67,203.3531195,west
223,Betsy,2018,September,Monday,foundation,94,283.7414176,west
224,Cristina,2018,October,Tuesday,eye liner,52,158.297332,west
225,Zaret,2018,February,Friday,lipstick,24,74.24389942,west
226,Jen,2018,June,Sunday,lip gloss,1,0.917707768,south
227,Hallagan,2020,January,Saturday,eye liner,37,112.5215821,south
228,Betsy,2020,February,Thursday,foundation,63,191.4542393,south
229,Cici,2018,April,Monday,lip gloss,13,41.01034685,west
230,Hallagan,2020,November,Saturday,lip gloss,7,22.33487736,west
231,Zaret,2018,March,Sunday,lip gloss,64,193.838793,west
232,Ashley,2018,June,Sunday,lip gloss,63,190.9066869,midwest
233,Emilee,2018,August,Wednesday,mascara,57,173.5902213,midwest
234,Emilee,2018,November,Sunday,mascara,59,178.9266503,east
235,Jen,2018,December,Tuesday,foundation,3,7.263759749,midwest
236,Cici,2020,September,Sunday,lip gloss,86,260.3290702,south
237,Cristina,2018,September,Friday,eye liner,4,9.993952068,east
238,Ashley,2018,December,Saturday,lip gloss,7,23.65433257,west
239,Cici,2020,September,Sunday,lip gloss,43,131.6776929,east
240,Emilee,2019,November,Saturday,lip gloss,2,7.634844779,south
241,Emilee,2019,April,Monday,mascara,85,256.8795702,midwest
242,Emilee,2019,April,Thursday,eye liner,52,158.187042,midwest
243,Colleen,2018,July,Friday,lipstick,3,7.39502105,south
244,Cristina,2019,February,Friday,eye liner,8,25.54668905,east
245,Cici,2018,July,Friday,mascara,5,17.19890558,east
246,Hallagan,2020,August,Tuesday,mascara,90,272.0987044,south
247,Betsy,2020,November,Tuesday,mascara,36,110.3374498,east
248,Zaret,2019,August,Saturday,mascara,25,77.01490065,west
249,Betsy,2019,March,Saturday,mascara,7,23.13320488,east
250,Colleen,2020,October,Friday,mascara,64,194.2537247,east
251,Colleen,2018,May,Tuesday,mascara,71,215.4930937,west
252,Ashley,2019,April,Sunday,eye liner,41,124.8104232,east
253,Ashley,2018,September,Friday,foundation,84,253.2861797,east
254,Emilee,2019,March,Wednesday,eye liner,3,10.7030154,east
255,Ashley,2018,March,Thursday,foundation,15,46.76167648,west
256,Hallagan,2018,February,Friday,eye liner,1,4.882046203,south
257,Hallagan,2019,July,Thursday,mascara,10,32.4684002,east
258,Emilee,2019,January,Wednesday,eye liner,77,233.3993348,west
259,Colleen,2019,February,Monday,lipstick,65,196.493466,south
260,Zaret,2018,January,Thursday,eye liner,25,77.32957223,midwest
261,Cici,2020,July,Sunday,mascara,1,1.930462866,south
262,Jen,2020,August,Tuesday,foundation,2,7.970925012,midwest
263,Zaret,2020,October,Friday,lip gloss,62,187.6196507,midwest
264,Colleen,2019,May,Friday,foundation,28,86.78811328,west
265,Hallagan,2019,July,Monday,eye liner,55,167.0507979,south
266,Colleen,2019,June,Wednesday,lip gloss,28,86.63605738,south
267,Cristina,2019,July,Friday,foundation,5,16.67083929,south
268,Cristina,2018,November,Sunday,eye liner,1,4.772217254,east
269,Cristina,2019,June,Wednesday,foundation,26,80.0120118,east
270,Zaret,2018,June,Sunday,foundation,47,142.8460267,south
271,Hallagan,2019,April,Monday,eye liner,74,224.7543505,east
272,Cici,2020,May,Thursday,lip gloss,22,68.71060705,midwest
273,Ashley,2020,June,Saturday,lipstick,70,212.262385,south
274,Cici,2019,November,Sunday,foundation,83,251.3104258,midwest
275,Hallagan,2019,December,Thursday,eye liner,59,179.3854668,west
276,Cici,2019,August,Tuesday,mascara,0,1.583111561,midwest
277,Hallagan,2019,January,Wednesday,eye liner,82,247.5824792,west
278,Betsy,2019,March,Tuesday,eye liner,29,89.05312898,west
279,Cici,2018,May,Saturday,foundation,63,191.0864147,east
280,Jen,2020,September,Sunday,lip gloss,67,203.1084693,east
281,Cristina,2019,July,Friday,eye liner,3,10.7807307,east
282,Hallagan,2018,December,Friday,eye liner,65,197.4077875,east
283,Emilee,2018,May,Wednesday,lipstick,75,227.4564793,west
284,Emilee,2018,August,Sunday,lip gloss,79,239.8954682,west
285,Jen,2020,August,Friday,mascara,5,12.92096017,midwest
286,Jen,2019,March,Wednesday,foundation,31,95.5123177,south
287,Ashley,2020,December,Sunday,mascara,21,65.34347331,south
288,Ashley,2019,September,Sunday,lipstick,8,21.9125458,east
289,Jen,2019,July,Thursday,lipstick,88,266.0518691,west
290,Emilee,2019,November,Wednesday,foundation,94,283.8467876,midwest
291,Zaret,2020,September,Sunday,mascara,83,251.4984055,midwest
292,Ashley,2018,August,Wednesday,mascara,16,49.95553949,south
293,Betsy,2020,August,Monday,mascara,33,100.5175326,midwest
294,Betsy,2018,February,Saturday,eye liner,1,0.908140287,midwest
295,Betsy,2020,July,Thursday,mascara,94,284.1359059,west
296,Jen,2019,April,Thursday,foundation,76,230.2555702,midwest
297,Betsy,2020,March,Monday,foundation,71,215.1564577,east
298,Zaret,2018,May,Wednesday,lipstick,56,169.1948719,south
299,Hallagan,2019,August,Wednesday,lip gloss,81,245.5857791,south
300,Zaret,2018,June,Monday,eye liner,3,11.16250202,south
301,Zaret,2019,April,Thursday,lip gloss,60,182.2126945,east
302,Jen,2020,October,Monday,foundation,81,245.5423212,south
303,Colleen,2018,May,Tuesday,foundation,70,211.4332365,midwest
304,Cici,2020,May,Monday,mascara,18,56.27258406,midwest
305,Hallagan,2019,February,Monday,lipstick,73,221.1700714,west
306,Zaret,2019,February,Friday,foundation,7,18.78232049,east
307,Zaret,2019,August,Saturday,foundation,55,166.6060922,midwest
308,Cici,2018,May,Saturday,lip gloss,7,23.38737494,east
309,Cici,2018,November,Thursday,eye liner,63,191.4492998,midwest
310,Zaret,2019,July,Thursday,lip gloss,83,251.6293753,west
311,Betsy,2018,February,Saturday,lip gloss,43,130.9719081,east
312,Zaret,2018,July,Saturday,eye liner,67,203.3029878,south
313,Colleen,2019,December,Friday,eye liner,9,24.96622797,midwest
314,Cici,2018,June,Monday,foundation,1,1.475132378,midwest
315,Betsy,2019,January,Wednesday,foundation,21,65.1965988,south
316,Cristina,2019,November,Saturday,mascara,6,20.10306355,east
317,Cristina,2018,January,Thursday,eye liner,0,1.605206034,east
318,Jen,2018,October,Saturday,eye liner,20,61.99481197,east
319,Ashley,2018,November,Sunday,foundation,70,212.5026331,south
320,Jen,2018,May,Saturday,eye liner,94,283.8816683,east
321,Hallagan,2018,October,Saturday,lip gloss,9,28.83051277,west
322,Jen,2019,June,Sunday,mascara,27,83.64015403,east
323,Colleen,2020,March,Friday,lipstick,43,130.9465618,south
324,Emilee,2020,September,Wednesday,foundation,84,254.3898419,east
325,Hallagan,2018,June,Sunday,eye liner,83,251.631757,midwest
326,Hallagan,2018,August,Wednesday,lipstick,89,268.6718293,midwest
327,Emilee,2020,October,Thursday,lip gloss,7,22.66854024,south
328,Hallagan,2018,July,Friday,foundation,68,205.7564445,south
329,Emilee,2019,October,Friday,eye liner,38,116.1428825,west
330,Cici,2018,January,Monday,eye liner,90,271.3332095,midwest
331,Cici,2018,August,Wednesday,eye liner,10,31.74006345,west
332,Cristina,2020,October,Friday,foundation,13,40.1828242,east
333,Jen,2018,June,Thursday,lip gloss,68,206.3786229,west
334,Zaret,2018,June,Sunday,foundation,40,122.1707911,south
335,Jen,2019,June,Saturday,foundation,17,52.5758158,west
336,Cristina,2018,November,Monday,foundation,6,19.23353237,west
337,Cristina,2020,May,Thursday,foundation,27,83.78608646,west
338,Zaret,2020,July,Thursday,foundation,80,242.194065,midwest
339,Colleen,2018,August,Wednesday,mascara,1,0.926797984,west
340,Hallagan,2020,March,Tuesday,mascara,89,269.2635167,south
341,Hallagan,2019,March,Wednesday,eye liner,21,65.22415463,midwest
342,Cristina,2020,December,Sunday,lip gloss,37,113.1165299,east
343,Colleen,2019,February,Monday,lipstick,15,46.63789886,east
344,Ashley,2018,May,Wednesday,mascara,94,283.6200976,midwest
345,Cici,2019,July,Monday,mascara,85,257.2853047,south
346,Colleen,2018,November,Thursday,lip gloss,95,286.8640263,west
347,Emilee,2019,May,Tuesday,lipstick,25,76.36893371,south
348,Hallagan,2020,April,Wednesday,mascara,69,208.6071054,west
349,Jen,2019,August,Wednesday,foundation,72,218.6691483,midwest
350,Zaret,2020,February,Sunday,lipstick,4,9.50404893,west
351,Colleen,2019,June,Sunday,lipstick,21,64.84783893,west
352,Colleen,2019,January,Wednesday,eye liner,85,256.9679991,east
353,Emilee,2019,September,Sunday,eye liner,85,257.0959881,south
354,Ashley,2019,October,Friday,lip gloss,79,239.7558966,south
355,Jen,2020,September,Saturday,lip gloss,81,245.0112759,south
356,Ashley,2020,August,Tuesday,eye liner,76,229.577571,east
357,Ashley,2019,June,Wednesday,lip gloss,31,95.41183787,east
358,Zaret,2019,September,Thursday,eye liner,44,133.8415575,south
359,Betsy,2020,December,Sunday,lipstick,44,133.9072414,west
360,Cristina,2018,May,Wednesday,mascara,70,211.6858805,south
361,Cristina,2018,November,Monday,foundation,4,9.453108015,east
362,Jen,2019,November,Wednesday,lip gloss,28,86.33463819,midwest
363,Ashley,2020,October,Thursday,mascara,83,250.6092386,south
364,Cici,2020,July,Wednesday,lip gloss,46,140.4799368,south
365,Jen,2020,May,Monday,lip gloss,88,266.3512568,west
366,Emilee,2019,October,Friday,lip gloss,9,24.5374613,east
367,Hallagan,2019,August,Tuesday,foundation,8,21.82535759,west
368,Colleen,2020,July,Wednesday,foundation,37,113.0101592,midwest
369,Hallagan,2018,February,Saturday,foundation,20,61.67879283,east
370,Cristina,2019,September,Sunday,lip gloss,2,7.750927281,west
371,Ashley,2019,August,Saturday,eye liner,36,110.5941813,south
372,Ashley,2019,September,Monday,mascara,34,103.889651,west
373,Cici,2020,April,Sunday,eye liner,84,253.8932206,midwest
374,Hallagan,2020,August,Friday,mascara,89,268.4759487,east
375,Zaret,2020,January,Wednesday,lip gloss,31,95.68069127,south
376,Cici,2018,March,Sunday,lip gloss,7,22.54586326,west
377,Hallagan,2018,February,Friday,lip gloss,7,22.93919334,west
378,Emilee,2020,February,Thursday,eye liner,76,229.8925901,east
379,Zaret,2018,July,Saturday,foundation,6,19.56101731,west
380,Cristina,2020,October,Monday,lip gloss,43,130.2859021,west
381,Cici,2018,January,Thursday,mascara,20,62.18277208,west
382,Zaret,2020,March,Friday,lipstick,11,35.07681871,south
383,Jen,2019,June,Sunday,eye liner,35,107.0532382,east
384,Emilee,2020,March,Friday,foundation,72,218.1502392,south
385,Cici,2018,May,Wednesday,foundation,49,148.9269298,west
386,Jen,2020,March,Monday,foundation,88,266.6463138,midwest
387,Ashley,2020,March,Tuesday,foundation,45,136.0073417,midwest
388,Ashley,2018,March,Sunday,lip gloss,37,112.9290042,midwest
389,Colleen,2019,April,Sunday,lip gloss,12,38.6183379,midwest
390,Jen,2018,May,Saturday,mascara,18,55.93206778,midwest
391,Hallagan,2020,January,Saturday,lip gloss,75,226.9979656,south
392,Jen,2019,February,Friday,foundation,8,26.31420482,south
393,Betsy,2018,March,Thursday,lip gloss,37,112.5353425,east
394,Ashley,2018,December,Tuesday,lip gloss,6,16.41236582,south
395,Betsy,2018,May,Saturday,lipstick,56,169.2751547,midwest
396,Jen,2018,December,Friday,eye liner,53,161.3254656,midwest
397,Cristina,2018,May,Wednesday,lip gloss,62,187.7199355,south
398,Ashley,2019,March,Wednesday,mascara,90,271.3051978,midwest
399,Ashley,2018,January,Thursday,eye liner,30,92.29332412,midwest
400,Colleen,2019,February,Monday,foundation,36,110.3939125,east
401,Cristina,2019,March,Tuesday,eye liner,76,230.1191177,west
402,Emilee,2019,April,Sunday,lip gloss,4,10.04585241,south
403,Colleen,2018,December,Friday,lipstick,26,80.06728671,midwest
404,Cristina,2019,May,Friday,lip gloss,5,12.79984302,west
405,Zaret,2018,May,Tuesday,foundation,44,133.9203142,midwest
406,Colleen,2018,February,Tuesday,mascara,91,274.8112737,south
407,Emilee,2018,March,Wednesday,lip gloss,78,235.9859534,west
408,Jen,2020,May,Monday,lip gloss,69,208.5896279,midwest
409,Betsy,2018,October,Saturday,mascara,74,224.0430548,east
410,Zaret,2019,July,Friday,foundation,71,215.1240252,south
411,Betsy,2020,September,Saturday,lipstick,34,103.8493959,midwest
412,Jen,2019,June,Saturday,mascara,93,281.1705442,south
413,Hallagan,2019,February,Friday,foundation,60,182.6095997,west
414,Cici,2018,April,Friday,foundation,37,112.4339772,midwest
415,Jen,2018,June,Monday,eye liner,26,79.91380433,south
416,Zaret,2019,July,Thursday,eye liner,2,8.539755534,east
417,Cristina,2019,September,Monday,foundation,9,25.92045376,east
418,Betsy,2020,February,Thursday,foundation,46,139.6875306,west
419,Cristina,2018,March,Wednesday,mascara,0,2.347047755,midwest
420,Hallagan,2018,November,Monday,foundation,79,239.2208515,east
421,Ashley,2019,January,Wednesday,foundation,48,146.5069786,midwest
422,Zaret,2020,January,Saturday,eye liner,77,233.0800911,west
423,Jen,2020,February,Sunday,foundation,10,26.96793279,east
424,Betsy,2019,August,Tuesday,lipstick,45,137.2316367,west
425,Colleen,2019,January,Sunday,foundation,17,53.5657932,east
426,Jen,2019,August,Saturday,eye liner,4,10.36408331,south
427,Zaret,2020,December,Sunday,mascara,43,130.8035004,west
428,Colleen,2018,October,Tuesday,eye liner,41,125.1893753,west
429,Jen,2020,June,Saturday,lipstick,4,9.876244634,midwest
430,Emilee,2018,September,Monday,foundation,6,20.38821532,south
431,Ashley,2020,May,Thursday,foundation,8,25.12446579,east
432,Hallagan,2018,July,Friday,eye liner,43,131.2032624,west
433,Betsy,2018,June,Sunday,eye liner,47,142.6730573,south
434,Hallagan,2020,August,Friday,lip gloss,13,41.34446714,south
435,Jen,2020,January,Wednesday,foundation,9,28.80424049,west
436,Betsy,2018,February,Saturday,eye liner,22,67.51004792,east
437,Zaret,2020,March,Friday,eye liner,87,263.0687729,south
438,Cristina,2020,October,Monday,foundation,15,46.29725214,west
439,Cici,2020,October,Monday,eye liner,27,83.40761478,west
440,Colleen,2020,April,Sunday,lipstick,78,236.444262,midwest
441,Cici,2019,March,Saturday,mascara,27,82.99777731,south
442,Cici,2018,January,Monday,foundation,19,59.62186555,east
443,Ashley,2018,February,Tuesday,mascara,0,2.370519951,west
